n,d
1281,31.568289803456295
1291,30.87901635737186
1301,31.890306967034114
1311,35.38537733535303
1321,28.639921959172504
1331,31.954612908188054
1341,31.922513493137767
1351,29.48588701740935
1361,32.2522975975903
1371,36.76386363678708
1381,33.723022730547285
1391,35.09133656168243
1401,32.01384718753465
1411,27.527827565972906
1421,32.44445900225915
1431,32.597620624289384
1441,34.00077235755189
1451,32.12967877557556
1461,31.341192335848245
1471,32.71631107917376
1481,33.284886457135364
1491,32.3190785379734
1501,35.863800274760415
1511,35.52015464247291
1521,36.20302494194307
1531,36.594554992927215
1541,30.347202929534184
1551,36.97845741330365
1561,34.76583788223247
1571,34.122629899394084
1581,32.36967745946321
1591,38.012404124432024
1601,34.07281153652088
1611,33.50084924060378
1621,34.43201152639862
1631,35.79763161534219
1641,35.62308836295871
1651,34.70379950316389
1661,33.92161164761766
1671,34.21876664267198
1681,34.79246687346592
1691,34.035462228941725
1701,36.371616815029434
1711,35.92239940820205
1721,38.03269245186915
1731,36.39922442644133
1741,34.766651382108385
1751,35.284896479176375
1761,33.190596496047824
1771,37.11005050664684
1781,35.56778507228992
1791,36.33873994107565
1801,37.45530383136625
1811,35.81262092922446
1821,39.99616899734785
1831,40.344978993654
1841,35.31361398270856
1851,38.239090920548534
1861,37.37157129283657
1871,45.14475033280339
1881,41.60422381038841
1891,38.2248293308651
1901,34.351141224110165
1911,36.84181437896489
1921,35.443076058922
1931,39.51094972271512
1941,39.177773605856125
1951,36.779051374333996
1961,44.18012308486281
1971,40.69336869353098
1981,35.49978189936452
1991,40.12917594516969
2001,42.39892683292131
2011,39.35396130087824
2021,38.369273069771936
2031,36.795233981670556
2041,41.99908410952818
2051,39.59010253165172
2061,36.66702236607753
2071,40.145884001563914
2081,40.5683240540648
2091,46.2211048752412
2101,40.75511441768764
2111,38.925591469951684
2121,44.090301929937155
2131,40.280161058921436
2141,45.345649323435595
2151,38.93352597618734
2161,45.42081464083406
2171,40.13666593342747
2181,42.47798613077826
2191,44.51293192857455
2201,40.84789361111638
2211,42.88796531513817
2221,41.015075796344256
2231,41.08632962197762
2241,43.28866753501462
2251,42.05139328379337
2261,43.08401559872539
2271,42.439318839545436
2281,39.341518260268415
2291,42.78685197930247
2301,44.381855173511354
2311,42.10271739924472
2321,45.9799354617483
2331,37.28721027995732
2341,46.450054081970826
2351,43.00705681686829
